creature_id,display_name,body,trait,cost,attack,hp,speed,weird,ability_name
"001-071","爺鍋","鍋","爺","4","2","7","3","5","爺化鍋体"
"001-072","爺団子","団子","爺","4","2","7","3","5","爺化団子体"
"001-073","爺饅頭","饅頭","爺","4","2","7","3","5","爺化饅頭体"
"001-074","爺傘","傘","爺","4","2","7","3","5","爺化傘体"
"001-075","爺提灯","提灯","爺","4","2","7","3","5","爺化提灯体"
"001-076","爺鏡","鏡","爺","4","2","7","3","5","爺化鏡体"
"001-077","爺時計","時計","爺","4","2","7","3","5","爺化時計体"
"001-078","爺磁石","磁石","爺","4","2","7","3","5","爺化磁石体"
"001-079","爺歯車","歯車","爺","4","2","7","3","5","爺化歯車体"
"001-080","爺鍵","鍵","爺","4","2","7","3","5","爺化鍵体"
"001-081","爺祭り","祭り","爺","5","4","6","4","6","爺化祭り体"
"001-082","爺屋台","屋台","爺","5","4","6","4","6","爺化屋台体"
"001-083","爺温泉","温泉","爺","5","4","6","4","6","爺化温泉体"
"001-084","爺畳","畳","爺","5","4","6","4","6","爺化畳体"
"001-085","爺路地","路地","爺","5","4","6","4","6","爺化路地体"
"001-086","爺地下","地下","爺","5","4","6","4","6","爺化地下体"
"001-087","爺電車","電車","爺","5","4","6","4","6","爺化電車体"
"001-088","爺ロボ","ロボ","爺","5","4","6","4","6","爺化ロボ体"
"001-089","爺宇宙","宇宙","爺","5","4","6","4","6","爺化宇宙体"
"001-090","爺時空","時空","爺","5","4","6","4","6","爺化時空体"
"001-091","爺早口","早口","爺","5","4","5","5","8","爺化早口体"
"001-092","爺無口","無口","爺","5","4","5","5","8","爺化無口体"
"001-093","爺巨大","巨大","爺","5","4","5","5","8","爺化巨大体"
"001-094","爺極小","極小","爺","5","4","5","5","8","爺化極小体"
"001-095","爺逆立ち","逆立ち","爺","5","4","5","5","8","爺化逆立ち体"
"001-096","爺透明","透明","爺","5","4","5","5","8","爺化透明体"
"001-097","爺分身","分身","爺","5","4","5","5","8","爺化分身体"
"001-098","爺暴走","暴走","爺","5","4","5","5","8","爺化暴走体"
"001-099","爺変身","変身","爺","5","4","5","5","8","爺化変身体"
"001-100","爺最終","最終","爺","5","4","5","5","8","爺化最終体"
"002-001","婆爺","爺","婆","4","3","6","3","5","婆化爺体"
"002-002","婆婆","婆","婆","4","3","6","3","4","婆化婆体"
"002-003","婆番長","番長","婆","4","3","6","4","4","婆化番長体"
"002-004","婆忍者","忍者","婆","4","3","6","4","4","婆化忍者体"
"002-005","婆侍","侍","婆","4","3","6","4","4","婆化侍体"
"002-006","婆博士","博士","婆","4","3","6","4","4","婆化博士体"
"002-007","婆王様","王様","婆","4","3","6","4","4","婆化王様体"
"002-008","婆姫","姫","婆","4","3","6","4","4","婆化姫体"
"002-009","婆僧侶","僧侶","婆","4","3","6","4","4","婆化僧侶体"
"002-010","婆商人","商人","婆","4","3","6","4","4","婆化商人体"
"002-011","婆受験","受験","婆","4","2","6","3","6","婆化受験体"
"002-012","婆宿題","宿題","婆","4","2","6","3","6","婆化宿題体"
"002-013","婆赤点","赤点","婆","4","2","6","3","6","婆化赤点体"
"002-014","婆合格","合格","婆","4","2","6","3","6","婆化合格体"
"002-015","婆部活","部活","婆","4","2","6","3","6","婆化部活体"
"002-016","婆文化祭","文化祭","婆","4","2","6","3","6","婆化文化祭体"
"002-017","婆校長","校長","婆","4","2","6","3","6","婆化校長体"
"002-018","婆黒板","黒板","婆","4","2","6","3","6","婆化黒板体"
"002-019","婆消しゴム","消しゴム","婆","4","2","6","3","6","婆化消しゴム体"
"002-020","婆給食","給食","婆","4","2","6","3","6","婆化給食体"
"002-021","婆コブシ","コブシ","婆","5","5","5","4","3","婆化コブシ体"
"002-022","婆牙","牙","婆","5","5","5","4","3","婆化牙体"
"002-023","婆角","角","婆","5","5","5","4","3","婆化角体"
"002-024","婆翼","翼","婆","5","5","5","4","3","婆化翼体"
"002-025","婆尻尾","尻尾","婆","5","5","5","4","3","婆化尻尾体"
"002-026","婆目玉","目玉","婆","5","5","5","4","3","婆化目玉体"
"002-027","婆背骨","背骨","婆","5","5","5","4","3","婆化背骨体"
"002-028","婆鎧","鎧","婆","5","5","5","4","3","婆化鎧体"
"002-029","婆鉄球","鉄球","婆","5","5","5","4","3","婆化鉄球体"
"002-030","婆大砲","大砲","婆","5","5","5","4","3","婆化大砲体"
"002-031","婆火山","火山","婆","5","4","5","5","5","婆化火山体"
"002-032","婆雷","雷","婆","5","4","5","5","5","婆化雷体"
"002-033","婆嵐","嵐","婆","5","4","5","5","5","婆化嵐体"
"002-034","婆雪","雪","婆","5","4","5","5","5","婆化雪体"
"002-035","婆砂漠","砂漠","婆","5","4","5","5","5","婆化砂漠体"
"002-036","婆森","森","婆","5","4","5","5","5","婆化森体"
"002-037","婆海","海","婆","5","4","5","5","5","婆化海体"
"002-038","婆月","月","婆","5","4","5","5","5","婆化月体"
"002-039","婆太陽","太陽","婆","5","4","5","5","5","婆化太陽体"
"002-040","婆星","星","婆","5","4","5","5","5","婆化星体"
"002-041","婆猫","猫","婆","5","4","5","6","3","婆化猫体"
"002-042","婆犬","犬","婆","5","4","5","6","3","婆化犬体"
"002-043","婆蛙","蛙","婆","5","4","5","6","3","婆化蛙体"
"002-044","婆鴉","鴉","婆","5","4","5","6","3","婆化鴉体"
"002-045","婆鯨","鯨","婆","5","4","5","6","3","婆化鯨体"
"002-046","婆蛇","蛇","婆","5","4","5","6","3","婆化蛇体"
"002-047","婆蜘蛛","蜘蛛","婆","5","4","5","6","3","婆化蜘蛛体"
"002-048","婆鮫","鮫","婆","5","4","5","6","3","婆化鮫体"
"002-049","婆狐","狐","婆","5","4","5","6","3","婆化狐体"
"002-050","婆亀","亀","婆","5","4","5","6","3","婆化亀体"
"002-051","婆怒り","怒り","婆","5","2","5","4","8","婆化怒り体"
"002-052","婆涙","涙","婆","5","2","5","4","8","婆化涙体"
"002-053","婆笑い","笑い","婆","5","2","5","4","8","婆化笑い体"
"002-054","婆眠り","眠り","婆","5","2","5","4","8","婆化眠り体"
"002-055","婆夢","夢","婆","5","2","5","4","8","婆化夢体"
"002-056","婆記憶","記憶","婆","5","2","5","4","8","婆化記憶体"
"002-057","婆勇気","勇気","婆","5","2","5","4","8","婆化勇気体"
"002-058","婆嘘","嘘","婆","5","2","5","4","8","婆化嘘体"
"002-059","婆影","影","婆","5","2","5","4","8","婆化影体"
"002-060","婆光","光","婆","5","2","5","4","8","婆化光体"
"002-061","婆鬼","鬼","婆","6","5","6","4","7","婆化鬼体"
"002-062","婆天狗","天狗","婆","6","5","6","4","7","婆化天狗体"
"002-063","婆河童","河童","婆","6","5","6","4","7","婆化河童体"
"002-064","婆幽霊","幽霊","婆","6","5","6","4","7","婆化幽霊体"
"002-065","婆妖精","妖精","婆","6","5","6","4","7","婆化妖精体"
"002-066","婆魔王","魔王","婆","6","5","6","4","7","婆化魔王体"
"002-067","婆勇者","勇者","婆","6","5","6","4","7","婆化勇者体"
"002-068","婆魔法","魔法","婆","6","5","6","4","7","婆化魔法体"
"002-069","婆呪い","呪い","婆","6","5","6","4","7","婆化呪い体"
"002-070","婆祈り","祈り","婆","6","5","6","4","7","婆化祈り体"
"002-071","婆鍋","鍋","婆","4","2","7","3","5","婆化鍋体"
"002-072","婆団子","団子","婆","4","2","7","3","5","婆化団子体"
"002-073","婆饅頭","饅頭","婆","4","2","7","3","5","婆化饅頭体"
"002-074","婆傘","傘","婆","4","2","7","3","5","婆化傘体"
"002-075","婆提灯","提灯","婆","4","2","7","3","5","婆化提灯体"
"002-076","婆鏡","鏡","婆","4","2","7","3","5","婆化鏡体"
"002-077","婆時計","時計","婆","4","2","7","3","5","婆化時計体"
"002-078","婆磁石","磁石","婆","4","2","7","3","5","婆化磁石体"
"002-079","婆歯車","歯車","婆","4","2","7","3","5","婆化歯車体"
"002-080","婆鍵","鍵","婆","4","2","7","3","5","婆化鍵体"
"002-081","婆祭り","祭り","婆","5","4","6","4","6","婆化祭り体"
"002-082","婆屋台","屋台","婆","5","4","6","4","6","婆化屋台体"
"002-083","婆温泉","温泉","婆","5","4","6","4","6","婆化温泉体"
"002-084","婆畳","畳","婆","5","4","6","4","6","婆化畳体"
"002-085","婆路地","路地","婆","5","4","6","4","6","婆化路地体"
"002-086","婆地下","地下","婆","5","4","6","4","6","婆化地下体"
"002-087","婆電車","電車","婆","5","4","6","4","6","婆化電車体"
"002-088","婆ロボ","ロボ","婆","5","4","6","4","6","婆化ロボ体"
"002-089","婆宇宙","宇宙","婆","5","4","6","4","6","婆化宇宙体"
"002-090","婆時空","時空","婆","5","4","6","4","6","婆化時空体"
"002-091","婆早口","早口","婆","5","4","5","5","8","婆化早口体"
"002-092","婆無口","無口","婆","5","4","5","5","8","婆化無口体"
"002-093","婆巨大","巨大","婆","5","4","5","5","8","婆化巨大体"
"002-094","婆極小","極小","婆","5","4","5","5","8","婆化極小体"
"002-095","婆逆立ち","逆立ち","婆","5","4","5","5","8","婆化逆立ち体"
"002-096","婆透明","透明","婆","5","4","5","5","8","婆化透明体"
"002-097","婆分身","分身","婆","5","4","5","5","8","婆化分身体"
"002-098","婆暴走","暴走","婆","5","4","5","5","8","婆化暴走体"
"002-099","婆変身","変身","婆","5","4","5","5","8","婆化変身体"
"002-100","婆最終","最終","婆","5","4","5","5","8","婆化最終体"
"003-001","番長爺","爺","番長","4","3","6","3","5","番長化爺体"
"003-002","番長婆","婆","番長","4","3","6","3","5","番長化婆体"
"003-003","大番長","番長","番長","5","3","6","3","5","番長校内抗争"
"003-004","番長忍者","忍者","番長","4","3","6","4","4","番長化忍者体"
"003-005","番長侍","侍","番長","4","3","6","4","4","番長化侍体"
"003-006","番長博士","博士","番長","4","3","6","4","4","番長化博士体"
"003-007","番長王様","王様","番長","4","3","6","4","4","番長化王様体"
"003-008","番長姫","姫","番長","4","3","6","4","4","番長化姫体"
"003-009","番長僧侶","僧侶","番長","4","3","6","4","4","番長化僧侶体"
"003-010","番長商人","商人","番長","4","3","6","4","4","番長化商人体"
"003-011","番長受験","受験","番長","4","2","6","3","6","番長化受験体"
"003-012","番長宿題","宿題","番長","4","2","6","3","6","番長化宿題体"
"003-013","番長赤点","赤点","番長","4","2","6","3","6","番長化赤点体"
"003-014","番長合格","合格","番長","4","2","6","3","6","番長化合格体"
"003-015","番長部活","部活","番長","4","2","6","3","6","番長化部活体"
"003-016","番長文化祭","文化祭","番長","4","2","6","3","6","番長化文化祭体"
"003-017","番長校長","校長","番長","4","2","6","3","6","番長化校長体"
"003-018","番長黒板","黒板","番長","4","2","6","3","6","番長化黒板体"
"003-019","番長消しゴム","消しゴム","番長","4","2","6","3","6","番長化消しゴム体"
"003-020","番長給食","給食","番長","4","2","6","3","6","番長化給食体"
"003-021","番長コブシ","コブシ","番長","5","5","5","4","3","番長化コブシ体"
"003-022","番長牙","牙","番長","5","5","5","4","3","番長化牙体"
"003-023","番長角","角","番長","5","5","5","4","3","番長化角体"
"003-024","番長翼","翼","番長","5","5","5","4","3","番長化翼体"
"003-025","番長尻尾","尻尾","番長","5","5","5","4","3","番長化尻尾体"
"003-026","番長目玉","目玉","番長","5","5","5","4","3","番長化目玉体"
"003-027","番長背骨","背骨","番長","5","5","5","4","3","番長化背骨体"
"003-028","番長鎧","鎧","番長","5","5","5","4","3","番長化鎧体"
"003-029","番長鉄球","鉄球","番長","5","5","5","4","3","番長化鉄球体"
"003-030","番長大砲","大砲","番長","5","5","5","4","3","番長化大砲体"
"003-031","番長火山","火山","番長","5","4","5","5","5","番長化火山体"
"003-032","番長雷","雷","番長","5","4","5","5","5","番長化雷体"
"003-033","番長嵐","嵐","番長","5","4","5","5","5","番長化嵐体"
"003-034","番長雪","雪","番長","5","4","5","5","5","番長化雪体"
"003-035","番長砂漠","砂漠","番長","5","4","5","5","5","番長化砂漠体"
"003-036","番長森","森","番長","5","4","5","5","5","番長化森体"
"003-037","番長海","海","番長","5","4","5","5","5","番長化海体"
"003-038","番長月","月","番長","5","4","5","5","5","番長化月体"
"003-039","番長太陽","太陽","番長","5","4","5","5","5","番長化太陽体"
"003-040","番長星","星","番長","5","4","5","5","5","番長化星体"
"003-041","番長猫","猫","番長","5","4","5","6","3","番長化猫体"
"003-042","番長犬","犬","番長","5","4","5","6","3","番長化犬体"
"003-043","番長蛙","蛙","番長","5","4","5","6","3","番長化蛙体"
"003-044","番長鴉","鴉","番長","5","4","5","6","3","番長化鴉体"
"003-045","番長鯨","鯨","番長","5","4","5","6","3","番長化鯨体"
"003-046","番長蛇","蛇","番長","5","4","5","6","3","番長化蛇体"
"003-047","番長蜘蛛","蜘蛛","番長","5","4","5","6","3","番長化蜘蛛体"
"003-048","番長鮫","鮫","番長","5","4","5","6","3","番長化鮫体"
"003-049","番長狐","狐","番長","5","4","5","6","3","番長化狐体"
"003-050","番長亀","亀","番長","5","4","5","6","3","番長化亀体"
"003-051","番長怒り","怒り","番長","5","2","5","4","8","番長化怒り体"
"003-052","番長涙","涙","番長","5","2","5","4","8","番長化涙体"
"003-053","番長笑い","笑い","番長","5","2","5","4","8","番長化笑い体"
"003-054","番長眠り","眠り","番長","5","2","5","4","8","番長化眠り体"
"003-055","番長夢","夢","番長","5","2","5","4","8","番長化夢体"
"003-056","番長記憶","記憶","番長","5","2","5","4","8","番長化記憶体"
"003-057","番長勇気","勇気","番長","5","2","5","4","8","番長化勇気体"
"003-058","番長嘘","嘘","番長","5","2","5","4","8","番長化嘘体"
"003-059","番長影","影","番長","5","2","5","4","8","番長化影体"
"003-060","番長光","光","番長","5","2","5","4","8","番長化光体"
"003-061","番長鬼","鬼","番長","6","5","6","4","7","番長化鬼体"
"003-062","番長天狗","天狗","番長","6","5","6","4","7","番長化天狗体"
"003-063","番長河童","河童","番長","6","5","6","4","7","番長化河童体"
"003-064","番長幽霊","幽霊","番長","6","5","6","4","7","番長化幽霊体"
"003-065","番長妖精","妖精","番長","6","5","6","4","7","番長化妖精体"
"003-066","番長魔王","魔王","番長","6","5","6","4","7","番長化魔王体"
"003-067","番長勇者","勇者","番長","6","5","6","4","7","番長化勇者体"
"003-068","番長魔法","魔法","番長","6","5","6","4","7","番長化魔法体"
"003-069","番長呪い","呪い","番長","6","5","6","4","7","番長化呪い体"
"003-070","番長祈り","祈り","番長","6","5","6","4","7","番長化祈り体"
"003-071","番長鍋","鍋","番長","4","2","7","3","5","番長化鍋体"
"003-072","番長団子","団子","番長","4","2","7","3","5","番長化団子体"
"003-073","番長饅頭","饅頭","番長","4","2","7","3","5","番長化饅頭体"
"003-074","番長傘","傘","番長","4","2","7","3","5","番長化傘体"
"003-075","番長提灯","提灯","番長","4","2","7","3","5","番長化提灯体"
"003-076","番長鏡","鏡","番長","4","2","7","3","5","番長化鏡体"
"003-077","番長時計","時計","番長","4","2","7","3","5","番長化時計体"
"003-078","番長磁石","磁石","番長","4","2","7","3","5","番長化磁石体"
"003-079","番長歯車","歯車","番長","4","2","7","3","5","番長化歯車体"
"003-080","番長鍵","鍵","番長","4","2","7","3","5","番長化鍵体"
"003-081","番長祭り","祭り","番長","5","4","6","4","6","番長化祭り体"
"003-082","番長屋台","屋台","番長","5","4","6","4","6","番長化屋台体"
"003-083","番長温泉","温泉","番長","5","4","6","4","6","番長化温泉体"
"003-084","番長畳","畳","番長","5","4","6","4","6","番長化畳体"
"003-085","番長路地","路地","番長","5","4","6","4","6","番長化路地体"
"003-086","番長地下","地下","番長","5","4","6","4","6","番長化地下体"
"003-087","番長電車","電車","番長","5","4","6","4","6","番長化電車体"
"003-088","番長ロボ","ロボ","番長","5","4","6","4","6","番長化ロボ体"
"003-089","番長宇宙","宇宙","番長","5","4","6","4","6","番長化宇宙体"
"003-090","番長時空","時空","番長","5","4","6","4","6","番長化時空体"
"003-091","番長早口","早口","番長","5","4","5","5","8","番長化早口体"
"003-092","番長無口","無口","番長","5","4","5","5","8","番長化無口体"
"003-093","番長巨大","巨大","番長","5","4","5","5","8","番長化巨大体"
"003-094","番長極小","極小","番長","5","4","5","5","8","番長化極小体"
"003-095","番長逆立ち","逆立ち","番長","5","4","5","5","8","番長化逆立ち体"
"003-096","番長透明","透明","番長","5","4","5","5","8","番長化透明体"
"003-097","番長分身","分身","番長","5","4","5","5","8","番長化分身体"
"003-098","番長暴走","暴走","番長","5","4","5","5","8","番長化暴走体"
"003-099","番長変身","変身","番長","5","4","5","5","8","番長化変身体"
"003-100","番長最終","最終","番長","5","4","5","5","8","番長化最終体"
"004-001","忍者爺","爺","忍者","4","3","6","3","5","忍者化爺体"
"004-002","忍者婆","婆","忍者","4","3","6","3","5","忍者化婆体"
"004-003","忍者番長","番長","忍者","4","3","6","3","5","忍者化番長体"
"004-004","忍者忍者","忍者","忍者","4","3","6","3","4","忍者化忍者体"
"004-005","忍者侍","侍","忍者","4","3","6","4","4","忍者化侍体"
"004-006","忍者博士","博士","忍者","4","3","6","4","4","忍者化博士体"
"004-007","忍者王様","王様","忍者","4","3","6","4","4","忍者化王様体"
"004-008","忍者姫","姫","忍者","4","3","6","4","4","忍者化姫体"
"004-009","忍者僧侶","僧侶","忍者","4","3","6","4","4","忍者化僧侶体"
"004-010","忍者商人","商人","忍者","4","3","6","4","4","忍者化商人体"
"004-011","忍者受験","受験","忍者","4","2","6","3","6","忍者化受験体"
"004-012","忍者宿題","宿題","忍者","4","2","6","3","6","忍者化宿題体"
"004-013","忍者赤点","赤点","忍者","4","2","6","3","6","忍者化赤点体"
"004-014","忍者合格","合格","忍者","4","2","6","3","6","忍者化合格体"
"004-015","忍者部活","部活","忍者","4","2","6","3","6","忍者化部活体"
"004-016","忍者文化祭","文化祭","忍者","4","2","6","3","6","忍者化文化祭体"
"004-017","忍者校長","校長","忍者","4","2","6","3","6","忍者化校長体"
"004-018","忍者黒板","黒板","忍者","4","2","6","3","6","忍者化黒板体"
"004-019","忍者消しゴム","消しゴム","忍者","4","2","6","3","6","忍者化消しゴム体"
"004-020","忍者給食","給食","忍者","4","2","6","3","6","忍者化給食体"
"004-021","忍者コブシ","コブシ","忍者","5","5","5","4","3","忍者化コブシ体"
"004-022","忍者牙","牙","忍者","5","5","5","4","3","忍者化牙体"
"004-023","忍者角","角","忍者","5","5","5","4","3","忍者化角体"
"004-024","忍者翼","翼","忍者","5","5","5","4","3","忍者化翼体"
"004-025","忍者尻尾","尻尾","忍者","5","5","5","4","3","忍者化尻尾体"
"004-026","忍者目玉","目玉","忍者","5","5","5","4","3","忍者化目玉体"
"004-027","忍者背骨","背骨","忍者","5","5","5","4","3","忍者化背骨体"
"004-028","忍者鎧","鎧","忍者","5","5","5","4","3","忍者化鎧体"
"004-029","忍者鉄球","鉄球","忍者","5","5","5","4","3","忍者化鉄球体"
"004-030","忍者大砲","大砲","忍者","5","5","5","4","3","忍者化大砲体"
"004-031","忍者火山","火山","忍者","5","4","5","5","5","忍者化火山体"
"004-032","忍者雷","雷","忍者","5","4","5","5","5","忍者化雷体"
"004-033","忍者嵐","嵐","忍者","5","4","5","5","5","忍者化嵐体"
"004-034","忍者雪","雪","忍者","5","4","5","5","5","忍者化雪体"
"004-035","忍者砂漠","砂漠","忍者","5","4","5","5","5","忍者化砂漠体"
"004-036","忍者森","森","忍者","5","4","5","5","5","忍者化森体"
"004-037","忍者海","海","忍者","5","4","5","5","5","忍者化海体"
"004-038","忍者月","月","忍者","5","4","5","5","5","忍者化月体"
"004-039","忍者太陽","太陽","忍者","5","4","5","5","5","忍者化太陽体"
"004-040","忍者星","星","忍者","5","4","5","5","5","忍者化星体"
"004-041","忍者猫","猫","忍者","5","4","5","6","3","忍者化猫体"
"004-042","忍者犬","犬","忍者","5","4","5","6","3","忍者化犬体"
"004-043","忍者蛙","蛙","忍者","5","4","5","6","3","忍者化蛙体"
"004-044","忍者鴉","鴉","忍者","5","4","5","6","3","忍者化鴉体"
"004-045","忍者鯨","鯨","忍者","5","4","5","6","3","忍者化鯨体"
"004-046","忍者蛇","蛇","忍者","5","4","5","6","3","忍者化蛇体"
"004-047","忍者蜘蛛","蜘蛛","忍者","5","4","5","6","3","忍者化蜘蛛体"
"004-048","忍者鮫","鮫","忍者","5","4","5","6","3","忍者化鮫体"
"004-049","忍者狐","狐","忍者","5","4","5","6","3","忍者化狐体"
"004-050","忍者亀","亀","忍者","5","4","5","6","3","忍者化亀体"
"004-051","忍者怒り","怒り","忍者","5","2","5","4","8","忍者化怒り体"
"004-052","忍者涙","涙","忍者","5","2","5","4","8","忍者化涙体"
"004-053","忍者笑い","笑い","忍者","5","2","5","4","8","忍者化笑い体"
"004-054","忍者眠り","眠り","忍者","5","2","5","4","8","忍者化眠り体"
"004-055","忍者夢","夢","忍者","5","2","5","4","8","忍者化夢体"
"004-056","忍者記憶","記憶","忍者","5","2","5","4","8","忍者化記憶体"
"004-057","忍者勇気","勇気","忍者","5","2","5","4","8","忍者化勇気体"
"004-058","忍者嘘","嘘","忍者","5","2","5","4","8","忍者化嘘体"
"004-059","忍者影","影","忍者","5","2","5","4","8","忍者化影体"
"004-060","忍者光","光","忍者","5","2","5","4","8","忍者化光体"
"004-061","忍者鬼","鬼","忍者","6","5","6","4","7","忍者化鬼体"
"004-062","忍者天狗","天狗","忍者","6","5","6","4","7","忍者化天狗体"
"004-063","忍者河童","河童","忍者","6","5","6","4","7","忍者化河童体"
"004-064","忍者幽霊","幽霊","忍者","6","5","6","4","7","忍者化幽霊体"
"004-065","忍者妖精","妖精","忍者","6","5","6","4","7","忍者化妖精体"
"004-066","忍者魔王","魔王","忍者","6","5","6","4","7","忍者化魔王体"
"004-067","忍者勇者","勇者","忍者","6","5","6","4","7","忍者化勇者体"
"004-068","忍者魔法","魔法","忍者","6","5","6","4","7","忍者化魔法体"
"004-069","忍者呪い","呪い","忍者","6","5","6","4","7","忍者化呪い体"
"004-070","忍者祈り","祈り","忍者","6","5","6","4","7","忍者化祈り体"
"004-071","忍者鍋","鍋","忍者","4","2","7","3","5","忍者化鍋体"
"004-072","忍者団子","団子","忍者","4","2","7","3","5","忍者化団子体"
"004-073","忍者饅頭","饅頭","忍者","4","2","7","3","5","忍者化饅頭体"
"004-074","忍者傘","傘","忍者","4","2","7","3","5","忍者化傘体"
"004-075","忍者提灯","提灯","忍者","4","2","7","3","5","忍者化提灯体"
"004-076","忍者鏡","鏡","忍者","4","2","7","3","5","忍者化鏡体"
"004-077","忍者時計","時計","忍者","4","2","7","3","5","忍者化時計体"
"004-078","忍者磁石","磁石","忍者","4","2","7","3","5","忍者化磁石体"
"004-079","忍者歯車","歯車","忍者","4","2","7","3","5","忍者化歯車体"
"004-080","忍者鍵","鍵","忍者","4","2","7","3","5","忍者化鍵体"
"004-081","忍者祭り","祭り","忍者","5","4","6","4","6","忍者化祭り体"
